college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select
國立金門大學,建築學系(願景組),國文,後標,6,英文,--,--,,,,,,,,,,*1.00,*1.00,,,,20%,審查資料,--,20%,,,,,,,,,,,,,一、審查資料二、學測國英級分總和三、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、G、I、K、N)、學習歷程自述(P、Q) ,一、學測國文、英文之級分總和
銘傳大學,建築學系（桃園校區）,國文,後標,3.0,英文,後標,3.0,社會,--,3.0,,,,,,,*1.50,*1.25,*1.00,,,30%,審查資料,--,30%,面試,70分,30%,,,,,,,,,,一、面試二、審查資料三、學測英文級分四、學測社會級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、G、H、J、N)、學習歷程自述(P、Q) ,一、學測國文、英文、社會之級分總和
逢甲大學,建築專業學院學士班,國文,均標,3,英文,後標,3,數學A,--,--,,,,,,,*1.50,*1.50,*1.00,,,40%,審查資料,--,40%,面試,--,20%,基本設計,--,15%,,,,,,,一、學科能力測驗成績二、面試三、基本設計四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、J、K、M、N)、學習歷程自述(O、P、Q)、其他(R.空間環境觀察體驗紀錄) ,一、學測國文、英文、數學A之級分總和　二、學測國文級分　三、學測英文級分　四、學測數學A級分
南華大學,建築與景觀學系社會組,國文,底標,--,社會,--,--,國社,--,3,,,,,,,*1.00,*1.00,--,,,20%,審查資料,--,20%,面試,--,45%,,,,,,,,,,一、面試,項目：修課紀錄(A)、課程學習成果(C)、多元表現(F、G、N)、學習歷程自述(P、Q)、其他(R.其他有利審查資料) ,一、學測國文、社會之級分總和
南華大學,建築與景觀學系自然組,國文,底標,--,自然,--,--,國自,--,3,,,,,,,*1.00,*1.00,--,,,20%,審查資料,--,20%,面試,--,45%,,,,,,,,,,一、面試,項目：修課紀錄(A)、課程學習成果(C)、多元表現(F、G、N)、學習歷程自述(P、Q)、其他(R.其他有利審查資料) ,一、學測國文、自然之級分總和
中華大學,建築與都市計畫學系（第一類組）,國文,底標,3.0,,,,,,,,,,,,,--,,,,,0%,審查資料,--,0%,面試,--,55%,,,,,,,,,,一、面試二、審查資料三、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、K、N)、學習歷程自述(O、P、Q) ,一、學測國文級分
中華大學,建築與都市計畫學系（第二類組）,數學A,底標,--,數學B,底標,--,自然,--,5,,,,,,,--,--,--,,,0%,審查資料,--,0%,面試,--,55%,,,,,,,,,,一、面試二、審查資料三、學測自然級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、K、N)、學習歷程自述(O、P、Q) ,一、學測自然之級分總和
實踐大學,建築設計學系A組(臺北校區),國文,後標,3.5,國英社,--,5.0,,,,,,,,,,--,--,,,,0%,審查資料,--,0%,創意設計,70分,25%,作品集面試,--,30%,,,,,,,一、創意設計二、作品集面試三、學測國文級分,項目：多元表現(F、K、M、N)、學習歷程自述(O、P)、其他(R.作品集、S.對本系教學的了解) ,一、學測國文、英文、社會之級分總和　二、學測社會級分　三、學測英文級分
實踐大學,建築設計學系B組(臺北校區),自然,後標,6.0,國英自,--,9.0,,,,,,,,,,--,--,,,,0%,審查資料,--,0%,創意設計,70分,25%,作品集面試,--,30%,,,,,,,一、創意設計二、作品集面試三、學測自然級分,項目：多元表現(F、K、M、N)、學習歷程自述(O、P)、其他(R.作品集、S.對本系教學的了解) ,一、學測國文、英文、自然之級分總和　二、學測英文級分　三、學測國文級分
輔仁大學,應用美術學系,國文,--,--,英文,--,4.5,數學B,--,--,,,,,,,*1.00,*1.00,*1.00,,,30%,審查資料,--,30%,面試,--,15%,,,,,,,,,,素描,項目：修課紀錄(A)、課程學習成果(C)、多元表現(G、J、K、M、N)、學習歷程自述(O、P)、其他(R.「設計與我」寫作) ,一、學測國文、英文、數學B之級分總和　二、學測英文級分　三、學測國文級分
